nodes	w	graph	threads_per_node	exit_code	time_s	expansions	cost
2	5	n1e10_dense	128	0	0.383144	150095	141448.059773
4	1	n1e10_dense	1	0	0.100155	250791	141419.942024
4	1	n1e10_dense	2	0	0.105152	250791	141419.942024
4	1	n1e10_dense	32	0	0.113041	250791	141419.942024
4	1	n1e10_dense	128	0	0.133675	250791	141419.942024
4	3	n1e10_dense	1	0	0.130516	250791	141574.589643
4	3	n1e10_dense	2	0	0.164539	250791	141574.589643
4	3	n1e10_dense	32	0	0.343001	250791	141574.589643
4	3	n1e10_dense	128	0	0.565181	250791	141574.589643
4	5	n1e10_dense	1	0	0.132427	250791	141574.589643
4	5	n1e10_dense	2	0	0.173422	250791	141574.589643
4	5	n1e10_dense	32	0	0.349495	250791	141574.589643
4	5	n1e10_dense	128	0	0.561627	250791	141574.589643
